"","store_name","borough","year","store_address","latitude","longitude","type"
"6899","729 JACKSON DELI GROCERY INC","Bronx",2014,"729 WESTCHESTER AVE",40.817717668,-73.906045805,"retail store"
"6900","1517 DELI & DISCOUNT INC","Bronx",2014,"1519 WESTCHESTER AVE.",40.828724699,-73.879390933,"retail store"
"6901","KIROLOS INC","Brooklyn",2014,"458 THIRD AVE",40.671676458,-73.991038806,"retail store"
"6902","HAPPY MART INC","Queens",2014,"104-38 CORONA AVE",40.743806926,-73.857371758,"retail store"
"6903","PROVENZANO GRACE & GENE","Staten Island",2014,"1676 VICTORY BLVD",40.613201326,-74.119491723,"retail store"
"6904","SHRADDHA 44 INC","Queens",2014,"44-02 28TH AVENUE",40.76381214,-73.910465163,"retail store"
"6905","ROCHDALE MEAT & PRODUCE LLC","Queens",2014,"166-02 BAISLEY BLVD",40.678919806,-73.776237952,"retail store"
"6906","NIHA MINI MART INC","Queens",2014,"63-02 BROADWAY ST",40.749833892,-73.899148923,"retail store"
"6907","NASSAU MEAT MARKET INC","Brooklyn",2014,"915 MANHATTAN AVENUE",40.730618169,-73.954495468,"retail store"
"6908","SUNRISE GROCERY CORP","Brooklyn",2014,"6005 FIFTH AVE",40.639248467,-74.016212595,"retail store"
"6909","TRIPLE D MEAT CORP","Queens",2014,"108-19 101ST AVENUE",40.687583592,-73.834831144,"retail store"
"6910","TAVARES MEAT MARKET CORP","Brooklyn",2014,"2972 FULTON ST",40.679721074,-73.885048551,"retail store"
"6911","KRISHNA HOLDING INC","Queens",2014,"249-12 HILLSIDE AVE",40.735134338,-73.717855901,"retail store"
"6912","NELLY MINI MARKET CORP","Bronx",2014,"1055 UNIVERSITY AVE.",40.834825971,-73.930298506,"retail store"
"6913","CHOES BLUE FRUIT & VEGETABLE INC","Brooklyn",2014,"1907 AVENUE M",40.618590387,-73.955948974,"retail store"
"6914","1550 WEST SERVICE ROAD CORP","Staten Island",2014,"1550 WEST SERVICE ROAD",40.557962656,-74.206663349,"retail store"
"6915","MEHUDAR MEATS POULTRY & MORE LP","Brooklyn",2014,"4013 13TH AVE",40.639704317,-73.987050361,"retail store"
"6916","FRANKLIN FINEST DELI CORP","Brooklyn",2014,"790 FRANKLIN AVE",40.671466827,-73.95783683,"retail store"
"6917","SABOR LATINO DELI SUPERMARKET CORP","Bronx",2014,"1000 LONGWOOD AVENUE",40.816775919,-73.897298618,"retail store"
"6918","NEEROB BAZAR INC","Bronx",2014,"2085 STARLING AVE",40.836153916,-73.855504605,"retail store"
"6919","AK TWO CORP","Brooklyn",2014,"1400 E 4TH ST",40.616468215,-73.971484664,"retail store"
"6920","V PHARMACY LLC","Brooklyn",2014,"2124 GRAVESEND NECK RD",40.597204631,-73.949139181,"retail store"
"6921","ORLANOU GROUP INC","Brooklyn",2014,"9701 DITMAS AVE",40.651907865,-73.909283147,"retail store"
"6922","J'S DELI & GROCERY INC","Brooklyn",2014,"8712 19TH AVENUE 1ST FLOOR",40.603847206,-74.002836502,"retail store"
"6923","SUSHI MARU EXPRESS INC","Manhattan",2014,"1031 1ST AVE",40.757962654,-73.963255626,"retail store"
"6924","FREDERICK DELI & GROCERY INC","Manhattan",2014,"2268 8TH AVE",40.8080415,-73.952636875,"retail store"
"6925","NO 1 IN & OUT DELI GROCERY INC","Manhattan",2014,"1958 ADAM CLAYTON POWELL BLVD",40.804531887,-73.951906634,"retail store"
"6926","183RD FOOD CENTER CORP","Bronx",2014,"9A WEST 183RD STREET",40.858592689,-73.904261465,"retail store"
"6927","ALEXANDRA DELI & GROCERY LLC","Brooklyn",2014,"79 SARATOGA AVENUE",40.68427404,-73.917315693,"retail store"
"6928","K & N STORES INC","Manhattan",2014,"801 AMSTERDAM AVE",40.796135944,-73.968626519,"retail store"
"6929","DI MARCOS BUTCHER SHOPPE LLC","Queens",2014,"66-03 MYRTLE AVENUE",40.701453169,-73.888152453,"retail store"
"6930","MIKE'S FOOD AND DELI CORP","Staten Island",2014,"100 STUYVESANT PLACE, STORE 1",40.64380575,-74.077666613,"retail store"
"6931","BOGOPA BG FLATLANDS LLC","Brooklyn",2014,"111-10 FLATLANDS AVE",40.651321959,-73.88934023,"retail store"
"6932","JUAN RODRIGUEZ DIAZ","Bronx",2014,"1517 WESTCHESTER AVE",40.828720509,-73.879443823,"retail store"
"6933","2463 E TREMONT DELI CORP","Bronx",2014,"2463 E TREMONT AVE",40.842866898,-73.851245592,"retail store"
"6934","168 8TH AVE FOOD CORP","Manhattan",2014,"168 8TH AVENUE",40.742453416,-74.000340371,"retail store"
"6935","MARKET ON 5TH INC","Brooklyn",2014,"185 5TH AVE",40.677113841,-73.979839996,"retail store"
"6936","W AND Y GROCERY INC","Brooklyn",2014,"6901 8TH AVENUE",40.630201712,-74.01486512,"retail store"
