zip,est_mean_income,est_median_income
14753,52343,34464
14754,62149,53438
14755,60783,51412
14757,81975,60536
14760,61826,47782
14767,72512,57361
14769,58407,52045
14770,65024,51883
14772,67312,57656
14775,70218,48523
14777,86611,54167
14779,51482,35853
14781,59252,51500
14782,52702,46875
14783,80692,34412
14784,74777,81250
14787,59212,39451
14801,63267,54707
14802,51707,34107
14803,64832,51250
14804,73970,72000
14805,60557,44231
14806,71860,56094
14807,67423,56951
14808,66944,54286
14809,64424,47259
14810,59696,41759
14812,66911,55357
14813,64910,53646
14814,113068,89837
14815,64247,47885
14816,81442,65625
14817,75516,66799
14818,81628,75670
14819,63031,54000
14820,65760,53500
14821,69005,60571
14822,69058,56705
14823,74322,53801
14824,77719,48500
14825,85944,71716
14826,64978,57738
14827,64906,57112
14830,87243,63710
14836,74093,62079
14837,72928,56908
14838,76522,67188
14839,74778,61522
14840,84188,59028
14841,77758,65598
14842,60593,57703
14843,57558,47783
14845,79606,62063
14846,61879,56146
14847,67103,58162
14850,86054,56794
14855,54142,41000
14858,75214,68125
14859,69016,64000
14860,64210,62054
14861,63136,51667
14864,64239,55625
14865,55761,39861
14867,75738,63083
14869,69237,61184
14870,100974,77171
14871,84227,66830
14872,87319,85114
14873,62258,51613
14874,65398,63021
14877,66279,42750
14878,115358,73750
14879,61260,50463
14880,53579,48625
14881,120187,83906
14882,115349,86165
14883,74185,58388
14884,77570,59375
14885,65288,57721
14886,80027,59616
14889,68077,58365
14891,67425,51563
14892,66660,49899
14894,70022,59565
14895,75033,48778
14897,54081,43546
14898,61189,47222
14901,50383,33783
14903,97886,60631
14904,57285,45912
14905,81371,65662
