zip,est_mean_income,est_median_income
11598,209020,151269
11691,81358,52605
11692,73727,53077
11693,77184,52946
11694,114854,87755
11697,152227,116205
11701,103615,85088
11702,145133,120865
11703,128889,105139
11704,116629,104375
11705,146099,122708
11706,119692,97495
11709,163353,115972
11710,167465,142444
11713,118851,88173
11714,135750,112205
11715,121629,102083
11716,118372,107561
11717,115208,89926
11718,167084,135595
11719,109507,90183
11720,124787,109720
11721,214951,154144
11722,98198,79432
11724,293609,"250,000+"
11725,174669,142921
11726,107831,93438
11727,104134,83802
11729,118697,105104
11730,131627,111372
11731,154239,132450
11732,140845,101875
11733,210615,160163
11735,138313,120516
11738,138696,119324
11739,208330,155608
11740,149328,121033
11741,127521,113762
11742,130307,109426
11743,188349,139619
11746,159834,122944
11747,168013,117210
11749,104304,82500
11751,127840,108340
11752,139641,122802
11753,242005,174400
11754,128347,102089
11755,132707,115216
11756,133826,120579
11757,114890,100915
11758,147558,122632
11762,155661,145321
11763,105460,95296
11764,151849,123906
11765,444808,"250,000+"
11766,146419,123125
11767,146540,116998
11768,186606,141815
11769,134885,108372
11771,197878,116639
11772,110504,92249
11776,121027,107145
11777,164044,118518
11778,118902,99886
11779,112880,100630
11780,170113,131412
11782,160640,125943
11783,169355,144651
11784,108087,87658
11786,160470,145463
11787,159002,127235
11788,140524,121648
11789,115830,110156
11790,166275,132500
11791,230220,164483
11792,155487,137895
11793,157726,144182
11795,155865,134511
11796,123216,124716
11797,255736,180688
11798,101943,84728
11801,134340,118286
11803,184400,155053
11804,178258,146507
11901,85796,69353
11930,195593,130625
11932,188800,109402
11933,90835,69583
11934,131409,125815
11935,172542,113569
11937,179537,109375
11939,119907,86900
11940,145747,106051
11941,132500,105469
11942,121867,90107
11944,111428,66406
11946,127029,92716
11948,141580,124043
11949,117685,101423
11950,100190,90714
11951,93080,83975
11952,110685,91259
11953,93027,81250
11954,140699,102266
11955,80590,70068
11956,124640,104375
11957,170790,72885
11958,120401,91678
11959,132642,124853
11960,182810,158750
11961,95928,75188
11962,165268,71250
11963,169429,103929
11964,111314,97234
11965,118504,125283
11967,131137,91139
11968,219113,118623
11970,34258,21900
11971,131612,85981
11972,95859,91711
11975,139968,140750
11976,296659,175875
11977,163667,118036
11978,161675,97273
11980,107856,92409
12008,114075,108889
12009,123802,99050
12010,66819,47750
12015,101686,74821
12017,75992,41250
12018,107477,100156
12019,120328,99196
12020,101075,84403
12022,81688,74167
12023,91998,90938
12025,87226,68281
12027,126596,102120
12028,74221,69911
12029,103616,85972
12031,61365,58906
12032,61914,47950
12033,91104,77352
12035,78632,62188
12036,74986,59125
12037,89878,69000
12041,139990,94906
12042,89879,88816
12043,77243,55827
12045,57292,54722
12046,84889,81250
12047,80519,60444
12051,84633,67560
12052,81414,84955
12053,105482,82316
12054,130479,113383
12056,94052,85000
12057,77412,71151
12058,76111,71449
12059,94813,85953
12060,134750,109688
12061,124178,97734
12062,80496,70238
12063,73010,71466
12064,44251,38438
12065,121797,100114
12066,92887,71705
12067,101324,84716
12068,77053,65417
12070,87334,53472
12071,68179,57125
12072,83572,68030
12074,97291,85000
12075,101151,82212
12076,65067,57188
12077,133920,98393
12078,59393,44144
12083,87565,76081
12084,98044,78049
12085,44859,32143
12086,69301,62500
12087,72779,57963
12090,77062,55316
12092,56183,43828
12093,79607,51008
12094,99112,95099
12095,72171,57247
12106,111556,83026
12108,67111,75179
12110,95637,83240
12116,99798,59167
12117,105631,64375
12118,107193,81922
12120,89675,85060
12121,98719,89084
12122,62293,45800
12123,107912,93451
12124,80074,65862
12125,76540,65577
12130,79472,59919
12131,53865,38750
12132,106034,108060
12134,72838,54516
12136,159872,110486
12137,98616,87961
12138,76379,67500
12139,73125,61607
12140,104837,100804
12143,90619,65357
12144,87391,77000
12147,104334,65000
12148,134507,111004
12149,68308,57902
12150,77460,71125
12151,90771,77132
12153,79921,73186
12154,101747,82188
12155,61479,47955
12156,121400,116544
12157,94571,63862
12158,111128,82179
12159,143451,93512
12160,89551,71944
12164,102298,76250
12165,76541,67500
12166,66535,53438
12167,66675,57292
12168,94869,72438
12170,96668,86275
12172,47621,43920
12173,82715,70521
12174,71628,44569
12175,73916,73125
12177,93540,115114
12180,75138,59523
12182,77117,55127
12183,62673,49792
12184,109271,77138
12185,108730,86250
12186,137689,108180
12187,59426,51831
12188,92875,70068
12189,72437,49932
12190,65763,67083
12192,93988,81944
12193,81402,61012
12194,58379,43250
12196,127241,117888
12197,77961,69917
12198,99288,76740
12202,49123,33542
12203,86466,64932
12204,78455,58442
12205,85767,75595
12206,49280,36137
12207,49759,23698
12208,79318,63367
12209,72646,60549
12210,60955,44248
12211,134516,117519
12302,91075,79199
12303,90604,68949
12304,68490,53940
12305,51092,36649
12306,82067,67224
12307,55100,30762
12308,62041,49550
12309,127874,109958
12401,76558,57830
12404,85284,49941
12405,66854,53281
12406,49499,42976
12407,42344,39028
12409,113654,96250
12410,36521,27000
12411,70485,68482
12412,87665,70144
12413,74950,50458
12414,60826,40643
12416,74394,29009
12417,88142,84648
12418,106268,65833
12419,82166,54554
12420,109674,101891
12421,143844,82639
12423,66206,65208
12424,73782,66042
12427,167624,111031
12428,65656,47240
12429,127939,119583
12430,71284,56570
12431,87623,67098
12432,36420,38132
12434,51395,37734
12435,86098,110250
12440,102489,93938
12441,45467,45438
12442,49934,24405
12443,125511,102143
12444,83054,57969
12446,78331,65731
12448,222988,116438
12449,73207,49286
12450,74584,105260
12451,66056,62454
12452,78048,80833
12454,65497,50625
12455,66431,62153
12456,74689,72500
12457,74101,51174
12458,64620,46118
12459,101624,85341
12460,64903,25500
12461,156704,82101
12463,80955,59063
12464,68830,57326
12465,79817,46563
12466,85656,69483
12468,90958,58359
12469,82926,90227
12470,74462,72500
12471,30010,"2,500-"
12472,65931,53563
12473,76070,64514
12474,85076,49141
12477,87955,62634
12480,103221,93807
